tablename,indexname,indexdef
music_album,music_album_pkey,CREATE UNIQUE INDEX music_album_pkey ON public.music_album USING btree (id)
music_artist,music_artist_pkey,CREATE UNIQUE INDEX music_artist_pkey ON public.music_artist USING btree (id)
music_recordcompany,music_recordcompany_pkey,CREATE UNIQUE INDEX music_recordcompany_pkey ON public.music_recordcompany USING btree (id)
music_track,music_track_pkey,CREATE UNIQUE INDEX music_track_pkey ON public.music_track USING btree (id)
music_trackartistcolab,music_trackartistcolab_pkey,CREATE UNIQUE INDEX music_trackartistcolab_pkey ON public.music_trackartistcolab USING btree (id)
music_userprofile,music_userprofile_pkey,CREATE UNIQUE INDEX music_userprofile_pkey ON public.music_userprofile USING btree (id)
music_confirmationcode,music_confirmationcode_pkey,CREATE UNIQUE INDEX music_confirmationcode_pkey ON public.music_confirmationcode USING btree (id)
music_confirmationcode,music_confirmationcode_user_id_d9b284ea,CREATE INDEX music_confirmationcode_user_id_d9b284ea ON public.music_confirmationcode USING btree (user_id)
music_album,music_album_copy_sales_d02d7ca3,CREATE INDEX music_album_copy_sales_d02d7ca3 ON public.music_album USING btree (copy_sales)
music_album,music_album_name_1f80804d,CREATE INDEX music_album_name_1f80804d ON public.music_album USING btree (name)
music_album,music_album_name_1f80804d_like,CREATE INDEX music_album_name_1f80804d_like ON public.music_album USING btree (name varchar_pattern_ops)
music_artist,music_artist_name_ddbd7346,CREATE INDEX music_artist_name_ddbd7346 ON public.music_artist USING btree (name)
music_artist,music_artist_name_ddbd7346_like,CREATE INDEX music_artist_name_ddbd7346_like ON public.music_artist USING btree (name varchar_pattern_ops)
music_recordcompany,music_recordcompany_name_4d9eaeed,CREATE INDEX music_recordcompany_name_4d9eaeed ON public.music_recordcompany USING btree (name)
music_recordcompany,music_recordcompany_name_4d9eaeed_like,CREATE INDEX music_recordcompany_name_4d9eaeed_like ON public.music_recordcompany USING btree (name varchar_pattern_ops)
music_track,music_track_genres_9eff0193,CREATE INDEX music_track_genres_9eff0193 ON public.music_track USING btree (genres)
music_track,music_track_genres_9eff0193_like,CREATE INDEX music_track_genres_9eff0193_like ON public.music_track USING btree (genres varchar_pattern_ops)
music_track,music_track_name_5648f155,CREATE INDEX music_track_name_5648f155 ON public.music_track USING btree (name)
music_track,music_track_name_5648f155_like,CREATE INDEX music_track_name_5648f155_like ON public.music_track USING btree (name varchar_pattern_ops)
music_album,music_album_user_id_5762717f,CREATE INDEX music_album_user_id_5762717f ON public.music_album USING btree (user_id)
music_artist,music_artist_user_id_b0d56609,CREATE INDEX music_artist_user_id_b0d56609 ON public.music_artist USING btree (user_id)
music_recordcompany,music_recordcompany_user_id_0d9ed0b0,CREATE INDEX music_recordcompany_user_id_0d9ed0b0 ON public.music_recordcompany USING btree (user_id)
music_track,music_track_user_id_396b3280,CREATE INDEX music_track_user_id_396b3280 ON public.music_track USING btree (user_id)
music_trackartistcolab,music_trackartistcolab_user_id_89084bf6,CREATE INDEX music_trackartistcolab_user_id_89084bf6 ON public.music_trackartistcolab USING btree (user_id)
music_confirmationcode,music_confirmationcode_user_id_key,CREATE UNIQUE INDEX music_confirmationcode_user_id_key ON public.music_confirmationcode USING btree (user_id)
music_userprofile,music_userprofile_user_id_key,CREATE UNIQUE INDEX music_userprofile_user_id_key ON public.music_userprofile USING btree (user_id)
music_track,music_track_album_id_f2264d26,CREATE INDEX music_track_album_id_f2264d26 ON public.music_track USING btree (album_id)
music_trackartistcolab,music_trackartistcolab_artist_id_f913e6b0,CREATE INDEX music_trackartistcolab_artist_id_f913e6b0 ON public.music_trackartistcolab USING btree (artist_id)
music_trackartistcolab,music_trackartistcolab_track_id_b773040b,CREATE INDEX music_trackartistcolab_track_id_b773040b ON public.music_trackartistcolab USING btree (track_id)
music_album,music_album_record_company_id_441dcab6,CREATE INDEX music_album_record_company_id_441dcab6 ON public.music_album USING btree (record_company_id)
